날짜,메뉴,재료,공급업체,수량,단가,비고
2025-09-22,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-09-26,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-09-26,붕어빵,반죽,황금잉어빵세종,4,13000,
2025-09-26,붕어빵,팥,황금잉어빵세종,3,8500,
2025-09-26,붕어빵,슈크림,황금잉어빵세종,3,8500,
2025-09-30,닭강정,해바라기씨유,가보유통,2,48000,
2025-09-30,닭강정,폐유,가보유통,1,-22000,
2025-10-01,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-10-01,붕어빵,팥,황금잉어빵세종,1,8500,
2025-10-01,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-10-02,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-10-02,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-10-10,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-10-10,붕어빵,팥,황금잉어빵세종,1,8500,
2025-10-10,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-10-13,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-10-13,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-10-13,붕어빵,팥,황금잉어빵세종,2,8500,
2025-10-13,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-10-14,닭강정,비쉐프 만능강정소스(매콤달콤),동원홈푸드,10,6820,
2025-10-15,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-10-15,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-10-15,붕어빵,소봉투,황금잉어빵세종,1,2000,
2025-10-15,붕어빵,대봉투,황금잉어빵세종,1,2200,
2025-10-17,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-10-17,붕어빵,팥,황금잉어빵세종,1,8500,
2025-10-17,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-10-18,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-10-18,붕어빵,LPG가스,시내가스,1,48000,
2025-10-21,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-10-21,붕어빵,팥,황금잉어빵세종,2,8500,
2025-10-21,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-10-22,붕어빵,반죽,황금잉어빵세종,4,13000,
2025-10-22,붕어빵,팥,황금잉어빵세종,2,8500,
2025-10-22,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-10-22,붕어빵,대봉투,황금잉어빵세종,1,2200,
2025-10-24,닭강정,몬스터 강정파우더,소스몬스터,2,42500,
2025-10-24,닭강정,몬스터 골드강정소스(골드간장),소스몬스터,3,55500,
2025-10-24,떡볶이,떡볶이 소스,소스히어로,2,46000,
2025-10-24,붕어빵,반죽,황금잉어빵세종,3,13000,
2025-10-24,붕어빵,팥,황금잉어빵세종,1,8500,
2025-10-24,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-10-24,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-10-25,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-10-25,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-10-27,꼬치오뎅,어묵용 스프,미도몰,5,3200,
2025-10-27,꼬치오뎅,가래떡,미도몰,3,2800,
2025-10-27,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-10-27,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-10-27,붕어빵,대봉투,황금잉어빵세종,2,2200,
2025-10-28,닭강정,해바라기씨유,가보유통,2,48000,
2025-10-28,닭강정,폐유,가보유통,1,-23000,
2025-10-28,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-10-28,붕어빵,팥,황금잉어빵세종,1,8500,
2025-10-28,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-10-31,붕어빵,LPG가스,시내가스,1,48000,
2025-10-31,붕어빵,반죽,황금잉어빵세종,3,13000,
2025-10-31,붕어빵,팥,황금잉어빵세종,1,8500,
2025-10-31,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-01,꼬치오뎅,상천어묵,미도어묵 대전지사,20,4700,
2025-11-01,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-01,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-01,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-03,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-11-04,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-04,붕어빵,소봉투,황금잉어빵세종,5,2000,
2025-11-05,닭강정,치킨박스(소),아주굿패키지(엣지),1,25800,
2025-11-05,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-05,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-05,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-06,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-06,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-06,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-07,꼬치오뎅,어묵용 스프,미도몰,5,3200,
2025-11-07,꼬치오뎅,가래떡,미도몰,20,2800,
2025-11-07,붕어빵,반죽,황금잉어빵세종,3,13000,
2025-11-07,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-07,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-08,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-08,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-10,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-10,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-10,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-11-11,붕어빵,반죽,황금잉어빵세종,3,13000,
2025-11-11,붕어빵,팥,황금잉어빵세종,2,8500,
2025-11-11,붕어빵,슈크림,황금잉어빵세종,3,8500,
2025-11-12,붕어빵,대봉투,황금잉어빵세종,2,2200,
2025-11-12,붕어빵,소봉투,황금잉어빵세종,2,2000,
2025-11-13,닭강정,몬스터 골드강정소스(골드간장),소스몬스터,3,55500,
2025-11-13,붕어빵,LPG가스,시내가스,1,48000,
2025-11-13,붕어빵,반죽,황금잉어빵세종,3,13000,
2025-11-13,붕어빵,팥,황금잉어빵세종,2,8500,
2025-11-13,붕어빵,슈크림,황금잉어빵세종,3,8500,
2025-11-14,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-14,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-14,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-15,닭강정,비쉐프 만능강정소스(매콤달콤),동원홈푸드,10,6820,
2025-11-15,닭강정,액상유자,동원홈푸드,1,9460,
2025-11-15,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-11-15,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-15,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-19,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-19,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-19,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-20,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-11-20,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-20,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-20,붕어빵,대봉투,황금잉어빵세종,2,2200,
2025-11-20,붕어빵,소봉투,황금잉어빵세종,2,2000,
2025-11-21,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-21,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-21,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-21,꼬치오뎅,상천어묵,미도어묵 대전지사,20,4700,
2025-11-21,꼬치오뎅,상천어묵_택배비,미도어묵 대전지사,1,4000,
2025-11-22,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-22,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-22,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-24,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-11-24,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-24,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-24,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-25,닭강정,해바라기씨유,가보유통,2,48000,
2025-11-25,닭강정,폐유,가보유통,1,-23000,
2025-11-26,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-26,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-26,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-11-27,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-11-27,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-27,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-28,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-11-28,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-28,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-11-29,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-11-29,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-11-29,붕어빵,팥,황금잉어빵세종,1,8500,
2025-11-29,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-01,닭강정,몬스터 강정파우더,소스몬스터,2,42500,
2025-12-01,떡볶이,떡볶이 소스,소스히어로,2,46000,
2025-12-01,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-01,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-01,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-01,붕어빵,대봉투,황금잉어빵세종,5,2200,
2025-12-01,붕어빵,소봉투,황금잉어빵세종,5,2000,
2025-12-02,닭강정,염지닭,현대에프씨,20,6500,
2025-12-02,닭강정,염지닭_택배비,현대에프씨,1,8000,
2025-12-02,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-03,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-03,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-03,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-04,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-04,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-04,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-05,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-05,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-06,떡볶이,밀떡볶이,밀앤스토리,20,1800,
2025-12-06,떡볶이,밀떡볶이_택배비,밀앤스토리,1,6000,
2025-12-06,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-06,붕어빵,팥,황금잉어빵세종,2,8500,
2025-12-08,떡볶이,비엔나소세지,유광식자재,2,6500,
2025-12-08,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-12-08,붕어빵,LPG가스,시내가스,1,48000,
2025-12-08,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-08,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-08,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-09,닭강정,해바라기씨유,가보유통,2,48000,
2025-12-09,닭강정,폐유,가보유통,1,-17000,
2025-12-09,닭강정,염지닭,현대에프씨,20,6500,
2025-12-09,닭강정,염지닭_택배비,현대에프씨,1,8000,
2025-12-09,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-09,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-09,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-10,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-10,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-10,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-11,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-11,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-12,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-12,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-12,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-13,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-13,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-13,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-15,닭강정,비쉐프 만능강정소스(매콤달콤),fastmall.co.kr,4,10500,
2025-12-15,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-15,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-15,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-16,닭강정,염지닭,현대에프씨,20,6500,
2025-12-16,닭강정,염지닭_택배비,현대에프씨,1,8000,
2025-12-16,꼬치오뎅,상천어묵,미도어묵 대전지사,20,4700,
2025-12-16,꼬치오뎅,가래떡,미도어묵 대전지사,10,2800,
2025-12-16,꼬치오뎅,상천어묵_택배비,미도어묵 대전지사,2,4000,
2025-12-17,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-17,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-19,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-12-19,닭강정,왕짧짧,농민식품,1,8000,
2025-12-19,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-19,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-19,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-20,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-20,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-20,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-22,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-22,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-22,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-23,닭강정,염지닭,현대에프씨,20,6500,
2025-12-23,닭강정,염지닭_택배비,현대에프씨,1,8000,
2025-12-23,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-23,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-23,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-25,꼬치오뎅,어묵용 스프,미도몰,20,3200,
2025-12-26,붕어빵,모짜렐라치즈,코스트코,1,26490,
2025-12-26,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-26,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-26,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-27,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-27,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-27,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-29,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-29,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-29,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-29,붕어빵,소봉투,황금잉어빵세종,5,2000,
2025-12-30,떡볶이,떡볶이 소스,소스히어로,2,46000,
2025-12-30,닭강정,왕짧짧,농민식품,1,8000,
2025-12-31,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-31,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-31,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-31,붕어빵,LPG가스,시내가스,1,48000,
2026-01-05,붕어빵,팥,황금잉어빵본사,1,8500,
2026-01-05,붕어빵,반죽,황금잉어빵세종,2,13000,
2026-01-05,닭강정,왕짧짧,황금잉어빵세종,1,8000,
2026-01-05,떡볶이,쌀떡볶이,황금잉어빵세종,1,8000,
